crit_number,index,radius,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,contact_graph_1,contact_graph_2,contact_graph_3
1,0,0.3061862178,0.1281482268,-0.169780834,-0.3249780325,0.1281482268,-0.169780834,0.3821287487,0.1281482268,0.330219166,0.0285753581,0,4,4
2,0,0.2942454572,0.2349009319,0.0463443837,0.1096546244,-0.2845379129,0.0463443837,0.449462676,-0.0248184905,-0.4536556163,0.2795586502,1,3,3
3,2,0.2886751346,0.4477786974,-0.1633044394,0.0920864209,-0.0522213026,0.0033622298,0.3277886794,-0.0522213026,-0.3299711107,-0.1436158363,3,3,3
4,1,0.267409046,-0.0488546575,-0.3619096719,0.3949267192,0.1062685627,0.138043625,0.5045692206,0.1062218597,-0.2068332014,-0.0928949932,2,2,2
5,2,0.2653960263,-0.2087415117,0.1945399179,0.2957337621,-0.4973803252,0.1499103592,-0.2388324204,0.2912810186,0.0278832014,0.2325809958,1,2,2
6,2,0.2588016994,-0.0531497481,0.3244077724,-0.2457815371,0.3129039729,-0.0416459486,-0.2457815297,-0.187134724,-0.1756309245,-0.2457815334,1,2,2
7,2,0.2548211671,0.0480708719,0.4092487843,-0.106818469,-0.3123919727,-0.2302883713,-0.1068184543,-0.1321605556,0.0894802013,-0.4603718522,1,2,2
8,4,0.25,0.101045634,-0.2529395667,-0.3289103151,0.1010452774,-0.2529399352,0.378196545,0.3510454798,0.497060329,0.0246431108,0,2,2
9,3,0.25,0.1886260304,0.2240804806,0.0964162878,-0.0613740451,-0.0259195642,0.4499695933,-0.3113739696,0.2240805045,0.0964161979,2,2,2
10,2,0.25,0.3529736438,0.4070122926,-0.1523931421,0.3529736438,-0.0929877074,-0.1523931421,-0.1470263091,-0.3429876407,-0.1524025238,2,0,0
11,4,0.2357022604,0.0322230447,-0.3503104137,0.0064557544,-0.4677769515,0.149689588,0.2421580148,-0.4677769538,0.1496895865,-0.229246506,1,1,1
12,4,0.1666666667,0.4648862238,0.3330667551,-0.1032582519,0.1315528905,0.3330667551,-0.1032582519,-0.2017804429,0.3330667551,-0.1032582519,1,1,1
