crit_number,index,radius,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6
1,0,0.3061862178,-0.0114700491,0.399810764,-0.2588088124,-0.0114700491,-0.100189236,0.0947445782,-0.0114700491,-0.100189236,-0.612362203,0.4885299509,-0.100189236,-0.2588088124,4,4,0,0,4,4
2,1,0.2676062602,0.3749582942,-0.0977205343,0.215673871,0.2204208584,0.0568168038,-0.2728840418,-0.2795790439,0.2477420301,-0.0028749974,0.1840330679,0.4022794657,0.2156739402,2,2,2,1,1,1
3,1,0.263368517,0.2616783516,-0.2077464624,-0.062892504,-0.1271618706,0.0310636032,-0.3262610161,-0.1271618755,0.0310635844,0.2004760179,0.4839979023,0.26987365,-0.0628924942,2,2,1,1,2,2
4,3,0.2588157605,-0.3387104872,-0.0864371318,-0.3818219792,0.1612895128,-0.2203863445,-0.3818220072,0.2952387256,-0.0864371318,0.3252849443,-0.2047612744,-0.2203863445,0.3252849523,2,2,1,1,2,2
5,1,0.2551078153,-0.2636999342,0.3111573356,0.2174126749,0.058198833,0.1330676555,0.5709742202,0.4047120101,0.1195125647,-0.1196950758,0.0446357761,0.4795595812,-0.1526069973,2,2,2,1,1,1
6,2,0.2548253327,0.1230317861,-0.3650584042,-0.2348908072,0.1230319205,-0.3650583686,0.2747945898,0.1230319205,0.1349415958,-0.3336014993,0.1230317861,0.1349416314,0.3735052819,1,2,2,2,2,0
7,2,0.2548211671,0.0540749848,0.0700823651,-0.3201675149,0.0540749652,0.0700827113,0.5842746041,-0.1171658924,-0.1011553536,0.1320513606,-0.4459250152,0.0700827114,-0.221499846,1,0,2,0,2,0
8,2,0.2545996112,0.2475983094,-0.2331649548,0.1907949412,-0.2524045048,-0.2490162455,0.0957402263,0.4557792256,0.099613477,-0.1338591986,0.0381470721,0.3906007351,-0.1166172463,2,2,1,1,1,1
9,3,0.2544347623,-0.34246112,0.0618596043,-0.0351381779,0.1575388799,0.0618568183,-0.129733068,-0.0559802042,0.2003260485,0.3622314988,0.3710627694,-0.0766064596,0.3622350981,2,1,1,1,1,1
10,3,0.25,0.296317731,0.2579113468,-0.0705818815,-0.2054031923,0.0079113676,-0.2461416846,0.0445969541,-0.242088647,0.1074115921,0.2945967704,0.0079113676,0.4609651022,0,0,0,2,2,2
11,4,0.25,0.2777828858,-0.0178115801,0.0598174858,-0.2222171787,0.4821888283,0.0598175179,0.0277828987,-0.2678113984,0.4133710141,0.2777828213,0.4821884199,0.0598176973,0,2,2,2,2,2
12,2,0.25,0.2102828463,0.4282570656,0.1127660509,-0.0397171476,0.1782570502,0.4663194349,0.2072442539,0.1812960791,-0.4175637121,-0.2866782503,0.175218341,-0.0640104937,2,0,0,0,0,0
13,3,0.25,-0.1425853402,0.2024638362,0.2681899499,-0.3925853603,0.4524638362,-0.0853634264,-0.1425853497,-0.2975361638,0.2681899567,-0.3925853328,-0.0475361638,-0.0853634459,2,2,2,2,2,2
14,4,0.25,0.0634401894,-0.2364323678,0.1209515469,-0.1865546819,0.2635612473,0.2920795126,0.3134453181,0.2635612473,0.2920795126,-0.4365598106,-0.2364323678,0.1209515469,0,0,2,2,0,0
15,5,0.25,0.2469349851,-0.0173567741,-0.2015442465,0.4969352296,-0.267356611,0.1520090865,-0.0030649344,0.2326431127,0.1520092811,0.2469351388,-0.0173568955,0.5055626141,2,2,0,0,2,2
16,4,0.2357022604,0.1548547588,0.4822049138,0.1368552014,0.0714442427,0.0656153047,0.4904084939,-0.0952223648,0.2322820307,-0.2166981519,0.2381108783,-0.101051393,-0.216698259,0,0,0,1,1,1
17,6,0.2165063509,0.3692377037,0.3650368963,0.0503594644,-0.2557623084,0.2400368929,0.2271361831,-0.0057623051,0.4900369052,-0.1264172058,0.1192377046,0.1150368925,0.4039128506,1,1,0,0,1,1
18,4,0.2070929683,0.0348077541,0.0536929244,-0.5468881082,0.3277147829,0.3465999507,-0.1326550055,-0.172285214,-0.1534000441,0.1602186789,0.0348077566,0.0536929135,-0.1326550115,1,1,1,1,1,1
19,4,0.2054577005,0.4833023729,-0.1513703374,0.1655001167,0.1285986643,-0.2966666378,0.313573514,0.483302383,-0.1513703475,-0.2454598534,-0.1619939173,-0.006074056,0.3135735299,1,1,1,1,1,1
20,5,0.1939513883,0.2437711704,0.2980849931,0.0354450919,-0.2562297376,-0.2019140973,0.0354450336,-0.1433832455,-0.0890681289,0.3889984536,0.1309245864,0.185238934,0.3889984536,0,1,1,1,1,1
21,4,0.1829990222,0.1322033528,-0.0887349435,0.418526209,-0.2621421882,0.0943014523,-0.4379987016,0.4208942076,0.4112650566,0.0102555262,0.2378578119,0.2282286607,0.2691080794,1,1,1,1,1,1
22,5,0.1783932104,-0.0155513801,0.3220669493,-0.1985798371,-0.2655519244,-0.4279327459,0.1549741729,0.3299556958,0.2705694137,-0.2714080589,-0.3610582001,0.3735649755,-0.1257507495,0,1,1,1,1,1
23,6,0.1767766953,-0.3702560447,0.331090931,-0.0089818844,0.1297438597,-0.1689090696,-0.362535275,0.1297439554,-0.1689091653,0.3445715062,0.1297438596,-0.1689091647,-0.0089818844,1,1,0,0,1,1
24,4,0.1666666667,0.4050930198,-0.0942219425,-0.1062287371,-0.1422775717,0.4529564889,-0.1730814468,0.0243890951,0.2862898225,0.0626208136,0.1910557643,0.1196231611,0.298323076,0,0,0,1,1,1
25,6,0.125,0.0979268436,-0.2313343901,0.2225220127,-0.027073049,-0.3563341956,0.3992989214,0.2229262455,-0.1063339916,0.0457451762,0.3479263795,0.0186661859,-0.1310312988,1,1,0,0,1,1
