crit_number,index,radius,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10
1,0,0.269223397,-0.114335719,0.2778635929,-0.2539711138,0.2702845247,0.2778635929,0.1811680849,0.3856755739,0.085564764,-0.3083531263,-0.4220255972,-0.3375387493,-0.0364015145,-0.2297267683,0.085564764,0.2355500974,0,2,2,2,2,2,2,2,2,2
2,1,0.2665416326,-0.1210888647,0.2524157795,0.1678839659,0.1310238077,0.154148687,-0.2914204501,-0.3689761981,-0.1493171262,-0.0799183964,0.1267984687,-0.1493171262,0.4156863282,0.1267984628,-0.345851313,-0.0799183992,2,2,2,2,1,1,0,0,1,1
3,0,0.2616531755,-0.2029573592,-0.4967703787,0.0239593177,0.077207064,-0.0109043054,-0.1414794675,-0.4227441905,-0.1137056784,-0.2569359518,0.4133160174,-0.135507212,0.2397985203,0.2970824984,0.463979004,-0.1255976574,0,2,1,2,2,2,1,1,1,1
4,2,0.2609790452,0.1149335842,-0.4922271797,-0.1209476778,0.3342609062,0.0077724754,-0.1387806856,-0.1657597848,0.0911234362,-0.263334112,-0.3850457249,-0.4088767806,0.0036061246,-0.0254027607,-0.1008155905,0.223689255,0,1,2,1,2,1,1,1,1,1
5,2,0.260785055,-0.2810842746,0.1541839603,-0.1206047923,0.3668422243,-0.2093016423,0.0805252954,-0.1331853806,-0.2036231958,0.228952851,0.200611699,0.3001634325,0.0164354769,0.1020818715,-0.1383454948,-0.3633082693,0,2,1,1,2,1,1,1,1,1
6,2,0.260508986,-0.1402796624,0.3880660601,0.2832292104,0.2093329528,-0.2467714286,0.0815447726,0.0386188342,0.3829980288,-0.2431738803,0.4895728893,0.2174350408,-0.0413719393,-0.2906250438,-0.2545043695,-0.0648858611,0,0,2,2,2,0,2,1,1,1
7,2,0.2600257032,0.0313682474,-0.374354526,0.170796305,0.1699707819,-0.0360128399,0.5406174865,0.1006686107,-0.2051830076,-0.3514004236,-0.4067438425,-0.036055474,-0.0455718757,0.1080828813,0.1256881086,0.0498788888,2,0,1,2,0,2,1,1,1,1
8,1,0.2595782314,0.2860144923,0.2040832441,0.2430956286,-0.2321214555,-0.0252903911,0.0389097899,-0.0877645685,0.2041075206,-0.4038781066,-0.1474544092,0.4747293275,0.1507962937,-0.0854446007,-0.0091444544,0.5367942911,0,2,1,2,2,2,1,1,1,0
9,4,0.2588016992,-0.0502599711,-0.0369704485,0.4114397008,0.2667131155,-0.353943642,0.1526553588,0.1327675242,0.1460557777,-0.0368827374,-0.2332867014,-0.2199974388,-0.036882738,-0.3672327155,0.2800030851,0.1526553574,2,2,2,2,0,0,1,1,0,0
10,4,0.2580889853,0.1168828908,0.1428520164,-0.2018088688,-0.024504075,0.4513803195,0.1871123438,0.0668316963,-0.3571144447,-0.3199956402,-0.4321067144,-0.1669234899,-0.0258809799,0.1120901304,-0.1011548289,0.4054297575,2,2,0,0,0,1,1,1,1,1
